p_num,p_na,p_ty,p_rad,p_ad,p_lat,p_lon,p_ce_na,p_pho,p_ce_ad
41830-00017,광탄2호 소공원,소공원,nan,경기도 양평군 용문면 광탄리 711,37.509628,127.628406,경기도 양평군청,031-770-2358,경기도 양평군
41830-00031,광탄3호 소공원,소공원,nan,경기도 양평군 용문면 광탄리 762,37.508443,127.627414,경기도 양평군청,031-770-2358,경기도 양평군
41830-00018,공흥 소공원,소공원,nan,경기도 양평군 양평읍 공흥리 885-1,37.493844,127.5093259,경기도 양평군청,031-770-2358,경기도 양평군
41830-00019,한강아트로드 공원,소공원,nan,경기도 양평군 강하면 운심리 43-25,37.496021,127.4082162,경기도 양평군청,031-770-2358,경기도 양평군
41830-00020,강하 소공원,소공원,경기도 양평군 강하면 운심길 58,경기도 양평군 강하면 운심리 28-1,37.496164,127.4123259,경기도 양평군청,031-770-2358,경기도 양평군
41830-00021,오빈12호 소공원,소공원,nan,경기도 양평군 양평읍 오빈리 96-40,37.505413,127.476939,경기도 양평군청,031-770-2358,경기도 양평군
41830-00022,오빈13호 소공원,소공원,nan,경기도 양평군 양평읍 오빈리 88-47,37.506925,127.479025,경기도 양평군청,031-770-2358,경기도 양평군
41830-00023,오빈14호 소공원,소공원,경기도 양평군 양평읍 오빈1리길12번길 4,경기도 양평군 양평읍 오빈리 88-46,37.507148,127.479103,경기도 양평군청,031-770-2358,경기도 양평군
41830-00024,오빈15호 소공원,소공원,경기도 양평군 양평읍 오빈1리길 9,경기도 양평군 양평읍 오빈리 81-32,37.50698641,127.4796766,경기도 양평군청,031-770-2358,경기도 양평군
41830-00025,양근소공원(17호),소공원,nan,경기도 양평군 양평읍 양근리 53-2,37.49946708,127.4921815,경기도 양평군청,031-770-2358,경기도 양평군
41830-00026,병산1호 소공원,소공원,nan,경기도 양평군 강상면 병산리 138,37.49067302,127.4739159,경기도 양평군청,031-770-2358,경기도 양평군
41830-00027,병산2호 소공원,소공원,nan,경기도 양평군 강상면 병산리 142-35,37.49108254,127.4753493,경기도 양평군청,031-770-2358,경기도 양평군
41830-00028,병산3호 소공원,소공원,nan,경기도 양평군 강상면 병산리 40,37.48961623,127.4791688,경기도 양평군청,031-770-2358,경기도 양평군
41830-00029,병산4호 소공원,소공원,nan,경기도 양평군 강상면 병산리 1205-1,37.4885532,127.4791562,경기도 양평군청,031-770-2358,경기도 양평군
41830-00029,양근소공원(19호),소공원,nan,경기도 양평군 양평읍 양근리 739,37.49280474,127.4894425,경기도 양평군청,031-770-2358,경기도 양평군
41830-00029,양서 소공원 7,소공원,nan,경기도 양평군 양서면 신원리 471-5,37.52498145,127.3720793,경기도 양평군청,031-770-2358,경기도 양평군
41830-00029,공흥 양근공원,소공원,nan,경기도 양평군 양평읍 공흥리 456-25,37.4877417,127.4986762,경기도 양평군청,031-770-2358,경기도 양평군
27290-00127,송일어린이공원,어린이공원,대구광역시 달서구 학산로2길 38,대구광역시 달서구 월성동 500-1,35.8241330677,128.5328212679,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00128,송지공원,어린이공원,대구광역시 달서구 앞산순환로 255,대구광역시 달서구 송현동 1977,35.8261687181,128.5558955386,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00129,송학1공원,어린이공원,대구광역시 달서구 월배로97길 27-2,대구광역시 달서구 송현동 1035-21,35.8361684331,128.5551428,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00130,수밭1공원,어린이공원,대구광역시 달서구 월곡로 4,대구광역시 달서구 도원동 928,35.7981241366,128.5488380523,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00131,신당어린이공원,어린이공원,대구광역시 달서구 성서서로75길 17-7,대구광역시 달서구 신당동 1759-1,35.85842521,128.498908,대구광역시 달서구청,053-667-2857,대구광역시 달서구
27290-00132,아람공원,어린이공원,대구광역시 달서구 한실로 30,대구광역시 달서구 도원동 1440-2,35.8059206669,128.5307899889,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00133,아래한실어린이공원,어린이공원,대구광역시 달서구 한실로6길 94-3,대구광역시 달서구 대곡동 778-6,35.7989975407,128.528676322,대구광역시 달서구청,053-667-3636,대구광역시 달서구
27290-00134,앞돌어린이공원,어린이공원,대구광역시 달서구 서당로 14,대구광역시 달서구 신당동 1844-1,35.85328625,128.4962880066,대구광역시 달서구청,053-667-2857,대구광역시 달서구
41220-00120,2호 어린이공원(여염리),어린이공원,nan,경기도 평택시 비전동 981공,37.006453,127.101332,경기도 평택시청,031-8024-4248,경기도 평택시
44270-00035,공원:140(수청2지구),근린공원,nan,충청남도 당진시 수청동 산178,36.88923325,126.6515761,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00036,공원:141(수청2지구),어린이공원,nan,충청남도 당진시 수청동 261,36.887243,126.656975,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00037,공원:142(수청2지구),소공원,nan,충청남도 당진시 수청동 228,36.88803898,126.653543,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00038,공원:143,소공원,nan,충청남도 당진시 채운동 256-3,36.89294605,126.625155,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00039,공원:154(수청1지구),소공원,nan,충청남도 당진시 수청동 368-2,36.90113307,126.6563345,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00040,공원:144(읍내1지구),어린이공원,nan,충청남도 당진시 읍내동 37,36.89573899,126.6396608,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00041,공원:145(수청1지구),소공원,nan,충청남도 당진시 수청동 591-2,36.89753061,126.6481818,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00042,공원:146(수청1지구),어린이공원,nan,충청남도 당진시 수청동 484-13,36.90185176,126.6538896,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00043,공원:147(수청1지구),어린이공원,nan,충청남도 당진시 수청동 368-1,36.90001325,126.6570265,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00044,공원:148(수청1지구),어린이공원,nan,충청남도 당진시 수청동 596,36.89732419,126.6491392,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00018,공원:123(당진:26 소망공원),어린이공원,nan,충청남도 당진시 원당동 1250,36.90218215,126.6447176,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00019,공원:124(당진:27 사랑공원),어린이공원,nan,충청남도 당진시 원당동 1247,36.89954459,126.6425936,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00020,공원:125(당진:28 호서공원),어린이공원,nan,충청남도 당진시 원당동 1176,36.90124818,126.6397852,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00021,공원:126(대덕수청지구 도시개발사업:29),수변공원,nan,충청남도 당진시 수청동 1110,36.88535613,126.642096,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00022,공원:127(대덕수청지구 도시개발사업:30),수변공원,nan,충청남도 당진시 대덕동 1809,36.88415878,126.6418173,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00023,공원:128(대덕수청지구 도시개발사업:31),수변공원,nan,충청남도 당진시 대덕동 1810,36.8840367,126.644066,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00024,공원:129(대덕수청지구 도시개발사업:32/봉암),근린공원,nan,충청남도 당진시 대덕동 1881,36.88232986,126.6401298,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00025,공원:130(대덕수청지구 도시개발사업:33/수청),소공원,nan,충청남도 당진시 수청동 1004,36.89126459,126.6447458,충청남도 당진시청,041-350-4182,충청남도 당진시
44270-00026,공원:131(대덕수청지구 도시개발사업:34/상상),어린이공원,nan,충청남도 당진시 대덕동 1790,36.8846969,126.6346045,충청남도 당진시청,041-350-4182,충청남도 당진시
